Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,10.53,10.84,10.23,10.26,10.26,0.0
2017-08-01,10.19,10.56,9.95,10.09,10.09,0.0
2017-08-02,10.08,10.81,9.8,10.28,10.28,0.0
2017-08-03,10.47,10.6,9.9,10.44,10.44,0.0
2017-08-04,10.48,10.5,9.68,10.03,10.03,0.0
2017-08-07,10.19,10.32,9.76,9.93,9.93,0.0
2017-08-08,10.04,11.52,9.52,10.96,10.96,0.0
2017-08-09,11.49,12.63,11.11,11.11,11.11,0.0
2017-08-10,11.57,16.17,11.56,16.040001,16.040001,0.0
2017-08-11,16.17,17.280001,14.5,15.51,15.51,0.0
2017-08-14,14.05,14.05,12.06,12.33,12.33,0.0
2017-08-15,11.78,12.37,11.45,12.04,12.04,0.0
2017-08-16,11.59,12.54,11.25,11.74,11.74,0.0
2017-08-17,11.81,15.77,11.54,15.55,15.55,0.0
2017-08-18,15.38,16.040001,13.32,14.26,14.26,0.0
2017-08-21,14.59,14.74,13.07,13.19,13.19,0.0
2017-08-22,12.6,12.94,11.35,11.35,11.35,0.0
2017-08-23,11.51,12.59,11.39,12.25,12.25,0.0
2017-08-24,12.06,12.83,11.55,12.23,12.23,0.0
2017-08-25,12.2,12.45,11.1,11.28,11.28,0.0
2017-08-28,12.09,12.11,11.23,11.32,11.32,0.0
2017-08-29,13.33,14.34,11.48,11.7,11.7,0.0
2017-08-30,11.4,11.98,10.96,11.22,11.22,0.0
2017-08-31,11.07,11.22,10.34,10.59,10.59,0.0
2017-09-01,10.33,10.46,10.02,10.13,10.13,0.0
2017-09-04,,,,,,
2017-09-05,11.75,14.06,11.41,12.23,12.23,0.0
2017-09-06,12.27,12.59,11.35,11.63,11.63,0.0
2017-09-07,11.93,12.07,11.32,11.55,11.55,0.0
2017-09-08,11.87,12.6,11.84,12.12,12.12,0.0
2017-09-11,11.38,11.39,10.51,10.73,10.73,0.0
2017-09-12,10.66,10.95,10.29,10.58,10.58,0.0
2017-09-13,10.72,10.86,10.33,10.5,10.5,0.0
