2022-08-01T10:24:20-04:00,"Micron, Western Digital rise as U.S. considers limiting equipment for Chinese memory chip makers: report",neutral,0.937536299
2022-08-01T09:34:56-04:00,"Apple starts four-part bond sale to fund dividends, buybacks: report",positive,0.828761518
2022-07-31T14:57:28-04:00,UBS reveals its highest conviction stock picks for the rest of 2022,negative,0.640393972
2022-07-31T10:05:00-04:00,'Stranger Things' finale puts up scary streaming numbers again,neutral,0.908733964
2022-07-30T12:00:00-04:00,Tech Roundup: Sector bellwethers run the gamut with earnings reports and outlooks,negative,0.970902383
2022-07-29T15:58:59-04:00,"Why did Intel stock sink today? Weak results, guidance cause multiple downgrades",negative,0.964750826
2022-07-29T08:45:37-04:00,Intel plummets as analysts downgrade chip giant after 'below standard' quarter,negative,0.951134622
2022-07-29T08:26:38-04:00,"Hot Stocks: AAPL and XOM gain on earnings, while PG slides and INTC plunges more than 10%",positive,0.912651122
2022-07-29T07:25:09-04:00,Apple has its 'Top Gun' moment as analysts praise execution amid challenging environment,positive,0.952398717
2022-07-28T17:43:34-04:00,Apple expects revenue to 'accelerate' following strong quarterly results,positive,0.951036513
2022-07-28T16:35:41-04:00,Apple forecasts sales gaining strength after Q3 results top estimates,positive,0.768027604
2022-07-28T16:31:41-04:00,Apple earnings beat expectations,neutral,0.847179413
2022-07-28T16:31:04-04:00,Apple declares $0.23 dividend,positive,0.713288307
2022-07-28T09:32:28-04:00,"Apple expanding in Israel, opening chip development center for Macs",negative,0.92436862
2022-07-28T08:37:47-04:00,"Bank of America downgrades Verizon, as it waits for '5G to be a thing'",negative,0.965162873
2022-07-28T07:57:10-04:00,Qualcomm slides as 'weakening' smartphone market concerns grow,positive,0.901269197
2022-07-28T07:00:00-04:00,"Apple's iPhone, services to take the spotlight with tech giant's quarterly results",positive,0.607187033
2022-07-27T18:50:34-04:00,"Qualcomm's Amon says company to stay disciplined amid uncertainty, highlights Samsung deal",positive,0.777842164
2022-07-27T17:14:12-04:00,Apple signs Lamborghini exec to accelerate EV efforts - Bloomberg,negative,0.512980998
2022-07-27T13:43:51-04:00,All eyes on Apple's Q3 amid looming macro challenges,neutral,0.912067413
